"name","code","price","measurement","use_for","years_of_circulation","category","space","location","forsalewhat","introduction","score","suggest","location_advantage","climate","related_support","land","status"
"滁州全椒县QF01-350亩山林地转让  面对水库 风景秀丽 前有照后有靠 风水宝地 可做家庭农场或农业休闲","土地编码：53205 更新时间：2018-10-21 20:54:40 1062 次查看","100","万元","林地|有林地","16 年","转让","350 亩","安徽/滁州/全椒县","杉树","","84.21","经济作物种植、林木种植、休闲农业","良","良","一般","一般","优"
"滁州全椒县QF02-600亩水库转让 可投料喂养 交通方便  水电都已接通","土地编码：53388 更新时间：2018-10-21 20:54:40 1580 次查看","260","万元","水域|水库","25 年","转让","600 亩","安徽/滁州/全椒县","","一次性转让或先付一百万。","83.35","水产养殖、休闲农业、生态农场","良","良","良","良","一般"
"滁州南谯区400亩畜牧养殖用地出租 年租金4.5W 转让费50万 通电通路通宽带","土地编码：103997 更新时间：2018-10-21 20:54:40 382 次查看","120","元/亩/年","养殖用地|畜牧养殖用地","20 年","出租","400 亩","安徽/滁州/南谯区","猪 鸡 马 兔 鸭 鹅 山羊 奶牛","","85.11","牲畜饲养、休闲农业、生态农场","一般","良","一般","良","优"
"滁州  南谯区 7000平米 商业用地 转让","土地编码：50096 更新时间：2018-10-21 20:54:39 2010 次查看","8","万元","商业及住宅|商业用地","50 年","转让","7000 平米","安徽/滁州/南谯区","","在滁州南進区有一所占地约10多亩左右的农村闲置的小学校对外转让，价格考察后面谈协商，现成有十几间校舍任你处置，适合办厂，养老度假休闲，感兴趣者请联系","","","","","","",""
"来安县7亩（建设用地）转让","土地编码：84578 更新时间：2018-10-21 20:54:39 277 次查看","49","万元","工矿仓储|工业用地","5 年","转让","7 亩","安徽/滁州/来安县","","来安7亩建设用地对外转让也可以出租，转让的话7万一亩，租的话5万一年，交通特别方便7米宽的水泥路，外加3间住房。老板是一次性买断的，有建设用地的批文。可以搞小型工厂，看中的打电话咨询。","","","","","","",""
"滁州  全椒县 120亩 果园 转让","土地编码：97245 更新时间：2018-10-21 20:54:39 168 次查看","55","万元","园地|果园","8 年","转让","120 亩","安徽/滁州/全椒县","桃子 樱桃 葡萄 火龙果 枸杞 梨 猕猴桃 无花果 柿子 柚子","全椒城边有120亩育苗地转让，有桂花，红叶李\u200c\u200c等，二十万余棵。离高速路口.和高铁站6公里大小车能进口.另有20多间库房.二台货车九年地租一起打包55万元.","83.71","经济作物种植、林木种植、休闲农业","良","良","一般","一般","优"
"定远县有3350亩优质靠特大型水库边水旱两用田出租","土地编码：50376 更新时间：2018-10-21 20:53:21 749 次查看","500","元/亩/年","耕地|水浇地","10 年","出租","3350 亩","安徽/滁州/定远县","葵花 秋葵 小麦 花生 红薯 油菜 白菜 马铃薯 荞麦 油用牡丹","一片水旱两用稻田3400亩左右现对外发包，租金500元，一季一付，无压力，该片紧靠一库有几万亩水面的特大型水库边，水源丰富有保障，旱涝保收，不仅可以种稻麦二季，更适合搞有机绿色农业项目，如稻虾，稻鱼，稻鸭，稻蛙等综合种养项目，也可搞药材种植，可立项，立项可获得国家扶贫补帖款政策，县，镇，村政府出面协助立项，补帖抵租金足够有余，感兴趣者请前来考察","90.96","经济作物种植、粮油种植、休闲农业","良","良","良","优","优"
"滁州  全椒县 400亩 水浇地 出租","土地编码：53403 更新时间：2018-10-21 20:53:21 2315 次查看","360","元/亩/年","耕地|水浇地","10 年","出租","400 亩","安徽/滁州/全椒县","玉米 小麦 棉花 花生 黄豆 红薯 高粱 油菜 韭菜 黄瓜","","80.44","经济作物种植、粮油种植、休闲农业","良","良","一般","一般","一般"
"滁州  全椒县 300亩 水浇地 出租","土地编码：54474 更新时间：2018-10-21 20:53:21 1437 次查看","310","元/亩/年","耕地|水浇地","10 年","出租","300 亩","安徽/滁州/全椒县","玉米 小麦 棉花 花生 红薯 番茄 高粱 油菜 辣椒 马铃薯","","82.69","经济作物种植、粮油种植、休闲农业","良","良","一般","一般","优"
"滁州  全椒县 320亩 水浇地 转让","土地编码：54981 更新时间：2018-10-21 20:53:21 1209 次查看","480","万元","耕地|水浇地","10 年","转让","320 亩","安徽/滁州/全椒县","葵花 秋葵 玉米 大蒜 棉花 花生 姜 黄豆 红薯 甘蓝","有20亩左右的梯田 \xa0有灌溉水渠 \xa0靠近国道","84.34","经济作物种植、粮油种植、休闲农业","良","良","一般","一般","优"
"滁州全椒县500亩水田出租 水电路三通，水渠到地头，高标准整治农田。非常适合养殖龙虾，芡实等经济作物。","土地编码：83528 更新时间：2018-10-21 20:53:21 327 次查看","700","元/亩/年","耕地|水田","8 年","出租","500 亩","安徽/滁州/全椒县","水稻 莲藕 茭白 稻田养虾","滁州全椒县500亩水田出租 水电路三通，水渠到地头，高标准整治农田。非常适合养殖龙虾，芡实等经济作物。","84.96","经济作物种植、水稻种植、休闲农业","良","良","一般","良","良"
"滁州  来安县 1200亩 水产养殖用地 出租","土地编码：76489 更新时间：2018-10-21 20:53:20 330 次查看","780","元/亩/年","养殖用地|水产养殖用地","6 年","出租","1200 亩","安徽/滁州/来安县","鱼 龙虾 对虾 河蟹","滁州来安县1200亩藕塘转包 紧靠水泥路 接手就可以搞水产养殖 水电路三通 水源十分充足","89.56","水产养殖、牲畜饲养、休闲农业","良","良","一般","优","优"
"滁州  定远县 200亩 果园 转让","土地编码：86433 更新时间：2018-10-21 20:53:20 329 次查看","100","万元","园地|果园","15 年","转让","200 亩","安徽/滁州/定远县","桃子 葡萄 火龙果 梨 草莓 无花果 柑橘 枇杷 龙眼 脐橙","滁州定远县200亩有林地转让，政府退耕还林的，可以搞苗圃，林下养殖。水电路三通。还有50亩水面，养鸡鸭鹅都可以。水力条件好，还可以种植果树。其他信息电话询问","82.36","经济作物种植、林木种植、休闲农业","良","良","一般","一般","优"
"滁州南谯区200亩整治好的水产养殖用地出租，地块已经挖好，养龙虾，蟹，鸡鸭鹅鱼。接手可以直接养","土地编码：88912 更新时间：2018-10-21 20:53:20 456 次查看","700","元/亩/年","养殖用地|综合养殖用地","10 年","出租","200 亩","安徽/滁州/南谯区","鱼 龙虾 鸭 鹅 山羊 对虾 河蟹 黄牛 林蛙 牛蛙","滁州南谯区200亩整治好的水产养殖用地出租，地块已经挖好，养龙虾，蟹，鸡鸭鹅鱼。接手可以直接养 住房等设备齐全。","84.81","牲畜饲养、休闲农业、生态农场","一般","良","良","一般","优"
"滁州南谯区260亩水产养殖用地转让 田租已经交到2025年 包含六十多亩风景树价值90万","土地编码：88913 更新时间：2018-10-21 20:53:20 342 次查看","150","万元","养殖用地|水产养殖用地","20 年","转让","260 亩","安徽/滁州/南谯区","鱼 河蟹 牛蛙 对虾 龙虾","田租交到2025年，将近200亩地水面 加六十几亩的风景树价值90万  还有住房八间 还有一些水产养殖的设配 总面积260亩","85.36","水产养殖、牲畜饲养、休闲农业","一般","良","良","一般","优"
"全椒县1300亩水产养殖用地出租，水电路三通。","土地编码：97578 更新时间：2018-10-21 20:53:20 230 次查看","750","元/亩/年","养殖用地|水产养殖用地","7 年","出租","1300 亩","安徽/滁州/全椒县","鱼 河蟹 牛蛙 龙虾 对虾","全椒县1300亩养殖用地，现种植水稻，给围塘水源充足方便，交通好。三相四线电到田头，水渠到田头。关键可以围塘养鱼，虾，蟹等等。如此稀有土地地主只要750。其他问题电话咨询","89.61","水产养殖、牲畜饲养、休闲农业","良","良","一般","优","良"
"全椒襄河边120亩养殖水面转让，水电路网全通。接手就能养，","土地编码：104327 更新时间：2018-10-21 20:53:20 71 次查看","90","万元","养殖用地|水产养殖用地","12 年","转让","120 亩","安徽/滁州/全椒县","鱼 龙虾 对虾 河蟹 牛蛙","全椒襄河边120亩养殖水面转让，水电路网全通。接手就能养，工具齐全，排灌方便。可用于养殖龙虾，毛蟹，对虾，甲鱼，鱼，青虾等水产养殖。交通非常方便。其他详情电话咨询","83.71","水产养殖、牲畜饲养、休闲农业","良","良","良","一般","优"
"宜昌当阳市 62亩 旱地 转让","土地编码：107507 更新时间：2018-10-21 20:48:14 3 次查看","60","万元","耕地|旱地","28 年","转让","62 亩","湖北/宜昌/当阳市","","本人有旱地三十亩氺地三十亩（土地平整）平房一栋（四和园）房前晒场三百平，六十万不二价，可实地看房，电话15997549410.陈","78.29","经济作物种植、粮油种植、休闲农业","良","优","一般","一般","一般"
"运城稷山县120亩水浇地出租","土地编码：107506 更新时间：2018-10-21 20:47:15 2 次查看","500","元/亩/年","耕地|水浇地","3 年","出租","120 亩","山西/运城/稷山县","玉米 小麦","120亩水浇地出租","82.56","经济作物种植、粮油种植、休闲农业","良","良","一般","一般","优"
"如东县200亩连片水田出租","土地编码：107496 更新时间：2018-10-21 20:42:55 11 次查看","900","元/亩/年","耕地|水田","5 年","出租","200 亩","江苏/南通/如东县","水稻","200亩连片麦稻地出租，设施齐全，交通便利，欢迎来电咨询，实地考察","78.26","经济作物种植、水稻种植、休闲农业","良","良","一般","一般","一般"
"江苏无锡1000亩水田出租","土地编码：107505 更新时间：2018-10-21 20:41:56 4 次查看","500","元/亩/年","耕地|水田","3 年","出租","1000 亩","江苏/无锡","","嘉兴秀洲1000亩水稻田出租，500/亩","84.88","经济作物种植、水稻种植、休闲农业","良","良","一般","优","一般"
"鹰潭余江县180亩水库出租","土地编码：102768 更新时间：2018-10-21 20:40:29 331 次查看","220","元/亩/年","水域|水库","10 年","出租","180 亩","江西/鹰潭/余江县","","该水库情况介绍如下：一、在建设新国道/省道等离该水库只有几百米，交通相对便利；二、水源充足，常年保持足够的水面积；三、水库边有林地100余亩可谈；四、风险，因余江区对水库环保提出新要求，要求水库保持三类水质，因此仅可实行人放天养，不能投喂饲料，尤其是猪粪。同时，本中心在鹰潭地区拥有较大资源，可按照客户需求专题寻找相应资源。","79.28","水产养殖、休闲农业、生态农场","一般","优","良","一般","一般"
"鹰潭余江县200亩其它耕地出租","土地编码：102770 更新时间：2018-10-21 20:40:29 140 次查看","280","元/亩/年","耕地|其它耕地","10 年","出租","200 亩","江西/鹰潭/余江县","","该地情况介绍;一、该地属于梯田，有一定坡度，不过交通还较为方便，农业机械可直接开到田间地头；二、该地水源较为充足，极少出现干旱情况；三、该地块适合种植旱作植物（玉米、花生、芝麻等）、中药（黄精、白芨等）、果树（桃、梨、甜柿、柑橘）。本中心工作人员为专业农业科技人员，可提供周到的农业技术指导与支持工作，全力协助您做好土地规划与种植生产工作。同时，本中心在鹰潭地区拥有较大资源，可按照客户需求专题寻找相应资源。","82.41","经济作物种植、粮油种植、休闲农业","一般","优","一般","一般","优"
"鹰潭余江县250亩水浇地出租","土地编码：102772 更新时间：2018-10-21 20:40:29 77 次查看","500","元/亩/年","耕地|水浇地","10 年","出租","250 亩","江西/鹰潭/余江县","秋葵 玉米 棉花 花生 姜 红薯 绿豆 辣椒 韭菜 芝麻","该地块情况介绍：一、该地土地平整，规则，每个地块面积大小基本一致，刚做完田园规划项目；二、交通便利，距离省道、国道仅几百米；三、水源充足，沟渠配套，机械化程度高；四、民风淳朴，以后相处较和谐；五、旁边另有600余亩面积可谈，集中连片，均做过园田规划；6、该地可发展蔬菜、果树、中药材等产业种植。本中心有工作人员为专业农业科技人员，可提供周到的农业技术指导与支持工作，全力协助您做好土地规划与种植生产工作。同时，本中心在鹰潭地区拥有较大资源，可按照客户需求专题寻找相应资源。","82.11","经济作物种植、粮油种植、休闲农业","一般","优","一般","一般","优"
"鹰潭余江县117亩水田出租","土地编码：103250 更新时间：2018-10-21 20:40:28 54 次查看","600","元/亩/年","耕地|水田","37 年","出租","117 亩","江西/鹰潭/余江县","水稻 莲藕 芦笋 茭白 稻田养虾","该地块介绍：一、土地平坦平整，做过园田规划，均为四四方方的格田；二、水源充分，处于一座小（二）型水库和一座坑塘水库下方，常年水源充足，不存在缺水情况；三、是交通便利，机耕道宽阔，后四轮车可直接开到田间地头，同时紧靠320国道和沪昆高速；四、民风淳朴，以后相处较和谐；五、该地可发展蔬菜、果树、中药材和种养结合等产业项目；六、另该村还有几百亩平整水田可谈。本中心有工作人员为专业农业科技人员，可提供周到的农业技术指导与支持工作，全力协助您做好土地规划与种植生产工作。同时，本中心在鹰潭地区拥有较大资源，可按照客户需求专题寻找相应资源。","80.62","经济作物种植、水稻种植、休闲农业","一般","优","一般","一般","优"
"鹰潭余江县45亩旱地出租","土地编码：103253 更新时间：2018-10-21 20:40:28 113 次查看","300","元/亩/年","耕地|旱地","37 年","出租","45 亩","江西/鹰潭/余江县","秋葵 玉米 花生 绿豆 芝麻","该地块介绍：一、该地块处于余江县，紧靠鹰潭最大水库边，可发展休闲农业或种养结合项目；二、价格优惠；三、适合开展果树、中药材种植；本中心有工作人员为专业农业科技人员，可提供周到的农业技术指导与支持工作，全力协助您做好土地规划与种植生产工作。同时，本中心在鹰潭地区拥有较大资源，可按照客户需求专题寻找相应资源。","82.47","经济作物种植、粮油种植、休闲农业","一般","优","一般","一般","优"
"鹰潭余江县110亩水田出租","土地编码：104651 更新时间：2018-10-21 20:40:28 97 次查看","350","元/亩/年","耕地|水田","9 年","出租","110 亩","江西/鹰潭/余江县","水稻","该地块情况介绍：一、该地块上半年种植过水稻，下半年空闲；二、地块存在轻微起伏，但不影响机械化操作；三、该地块靠近320国道，不足200米，交通方便；四、该地块相对来说灌溉存在一定难度，可以选择提灌，较适合旱生作物的种植。五、本中心有其他地源，欢迎咨询，且本中心有专业农业技术人员，可提供种植项目咨询","80.46","经济作物种植、水稻种植、休闲农业","一般","优","一般","一般","优"
"鹰潭10000平米厂房出租","土地编码：105560 更新时间：2018-10-21 20:40:28 20 次查看","7","元/平米/月","工矿仓储|厂房","47 年","出租","10000 平米","江西/鹰潭/余江县","","该厂房介绍：一、该厂房共分两栋，分别为5670平和3901平，共计9571平，另有办公楼面积200平，产权明晰；二、该厂房交通便利，距离高速、国道近在咫尺；三、配套设施完备，目前是路、电、网、水等全部配套齐全。租来即可生产。","","","","","","",""
"呼伦贝尔阿荣旗10000亩旱地出租","土地编码：107503 更新时间：2018-10-21 20:39:56 4 次查看","370","元/亩/年","耕地|旱地","30 年","出租","10000 亩","内蒙古/呼伦贝尔/阿荣旗","玉米 黄豆 高粱 红薯","五大连池有1万亩土地出租，土质肥沃，交通方便，水源充足，可以一年一租，适合种植各种农作物，联系电话155540095208","87","经济作物种植、粮油种植、休闲农业","优","一般","一般","优","优"
"鹰潭余江县1000亩水田出租非常适合种植芡实","土地编码：106877 更新时间：2018-10-21 20:39:54 17 次查看","800","元/亩/年","耕地|水田","10 年","出租","1000 亩","江西/鹰潭/余江县","水稻 莲藕 稻田养虾","该地块介绍：一、该地块非常平整，非常适合种植芡实；2、该地块水电路三通，交通方便；三、土质肥沃，土层深厚","88.79","经济作物种植、水稻种植、休闲农业","一般","优","一般","优","优"
"鹰潭余江县60亩水田出租","土地编码：102093 更新时间：2018-10-21 20:39:53 104 次查看","400","元/亩/年","耕地|水田","10 年","出租","60 亩","江西/鹰潭/余江县","水稻 莲藕 茭白 稻田养虾","该地块具有以下优点：一、交通便利，新建国道就在该地块边上，目前已完成征地工作，且现有交通道路可直接开到地块旁；二、该地块水源丰富，位于两座小（二）型水库坝底，常年不缺水；三、目前有电线可直接拉到田头；四、该地块适合发展水生蔬菜（莲藕、芡实）等的种植和稻虾共养、稻鳖共养等模式。同时，本中心在鹰潭地区拥有较大资源，可按照客户需求专题寻找相应资源。","81.46","经济作物种植、水稻种植、休闲农业","一般","优","一般","一般","优"
"鹰潭余江县 360亩 有林地 转让","土地编码：103680 更新时间：2018-10-21 20:39:53 159 次查看","1100","万元","林地|有林地","30 年","转让","360 亩","江西/鹰潭/余江县","光伏用地 松树 杉树","该土地位于江西鹰潭，土地性质为林地，面积：360亩，价格为：1100万元，可流转30年；该地块情况介绍：一、土质好，为红壤土，土层深厚，土壤疏松；二、交通较为便利；三、该地主将地上所有林木及其他附属物一起打包1100万转让；五、位置较好，听说规划中的鹰潭机场就在该地或不远处。","84.59","经济作物种植、林木种植、休闲农业","一般","优","一般","一般","优"
"鹰潭余江县96平米城镇住宅转让","土地编码：103829 更新时间：2018-10-21 20:39:53 39 次查看","63","万元","商业及住宅|城镇住宅","60 年","转让","0.14 亩","江西/鹰潭/余江县","","1、该住宅地地处水稻原种场毗邻320国道，交通便利。2、基础设施完善，水电方面即用即通。网络光缆等可即装。3、阳光充足，日照光线条件好，一年四季都有阳光。4、交通便利，距离余江区近在咫尺。5、地面已铺瓷砖，省时省心。6、房屋侧面有大门，一层可用做店铺。","","","","","","",""
"鹰潭  余江县 120平方 城镇住宅 转让","土地编码：103830 更新时间：2018-10-21 20:39:53 47 次查看","38","万元","商业及住宅|城镇住宅","60 年","转让","0.18 亩","江西/鹰潭/余江县","","1、该住宅地地处水稻原种场毗邻320国道，交通便利。2、基础设施完善，水电方面即用即通。网络光缆等可即装。3、房屋风景绚丽，阳光充足，日照光线条件好。4、交通便利，距离余江区近在咫尺。5、房屋有车库，停放车辆方便。6、主卧有独立卫生间","","","","","","",""
"昆明西山区 40亩 灌木林地 出租","土地编码：107474 更新时间：2018-10-21 21:34:22 0 次查看","2500","元/亩/年","林地|灌木林地","47 年","出租","40 亩","云南/昆明/西山区","","该土地位于云南昆明云南省昆明市西山区，土地性质为林地，面积：40亩，价格为：2500元/亩/年，可流转47年；","77.22","经济作物种植、林木种植、休闲农业","一般","优","一般","一般","一般"
"张掖肃南县 1000亩 水浇地 转包","土地编码:T560550 更新时间:2018-10-21 21:22:42 104 次查看","","","","","","","甘肃/张掖/肃南县","玉米 小麦","该土地位于甘肃张掖明花乡中沙井村01号，土地性质为耕地，面积：1000亩，价格为：200万元，可流转50年；","84.3","经济作物种植、粮油种植、休闲农业","良","一般","一般","优","优"
"滁州定远县600亩水产养殖用地出租","土地编码：69128 更新时间：2018-10-21 21:22:13 662 次查看","500","元/亩/年","养殖用地|水产养殖用地","10 年","出租","600 亩","安徽/滁州/定远县","鱼 龙虾 对虾 河蟹","定远600亩左右水稻田土地平整每块田亩都在10亩左右适合大型机械水源特别充足道路交通特别好，500每亩每年价格特别合适喜欢有兴趣的老板抓紧了。","86.66","水产养殖、牲畜饲养、休闲农业","良","良","一般","良","良"
"滁州全椒县500亩水库转让，可投料投肥。精养池一个。","土地编码：90069 更新时间：2018-10-21 21:22:13 605 次查看","240","万元","水域|水库","25 年","转让","500 亩","安徽/滁州/全椒县","","滁州全椒县500亩水库转让，可投料投肥。精养池一个。水深5米。住房两间。现地主在养鱼。机械齐全。转让不包括鱼。","82.4","水产养殖、休闲农业、生态农场","良","良","一般","良","一般"
"来安县90亩坑塘转包水深2米左右。可养殖龙虾。鱼类等。","土地编码：93710 更新时间：2018-10-21 21:22:13 653 次查看","3.5","万元","水域|坑塘","9 年","转包","90 亩","安徽/滁州/来安县","鱼 河蟹 对虾 龙虾","来安县90亩坑塘转包水深2米左右。可养殖龙虾。鱼类等。","78.17","水产养殖、休闲农业、生态农场","良","良","一般","一般","一般"
"滁州南谯区 600亩 苗圃转让 基本农田改造的 水电路三通 到高速入口4公里","土地编码：104466 更新时间：2018-10-21 21:22:13 66 次查看","360","万元","林地|其它林地","7 年","转让","600 亩","安徽/滁州/南谯区","","实测土地600亩，交地租550亩，每亩每年500元，一年一付，合同到2025年，蜀桧45000棵，高度2-2.5米，龙柏20000棵高度2-2.3米，紫叶李13万棵，D径3.5-6公分，国槐3.3万棵胸径3-5公分，栾树7000棵其中8-10公分4000棵左右，5-8公分3000棵，榉树4000棵6-9公分，冬青10000棵4-6公分7000棵，6-8公分3000棵，实生紫薇3000棵3公分左右，高杆红叶石楠2600棵D经4-6公分，挂价400万，有意者面谈。","87.91","经济作物种植、林木种植、休闲农业","一般","良","良","良","优"
"滁州南谯区600亩平坦路渠配套水田出租","土地编码：50028 更新时间：2018-10-21 21:22:12 464 次查看","570","元/亩/年","耕地|水田","10 年","出租","600 亩","安徽/滁州/南谯区","水稻","在滁州南谯区有一片平坦平整路渠配套完善的水稻田600亩现对外出租，水源有保障，自流灌溉，年亩租金570元，一季一交无压力，不但适合稻麦二季，而且还适合搞其它养殖种植业，因季节己到，欲租者从速","80.95","经济作物种植、水稻种植、休闲农业","一般","良","一般","良","一般"
"滁州定远县2000亩水田出租 土地平整 水电路三通 适合种植水稻小麦和经济作物","土地编码：73010 更新时间：2018-10-21 21:22:12 397 次查看","550","元/亩/年","耕地|水田","7 年","出租","2000 亩","安徽/滁州/定远县","","定远2000亩水田出租，土地平整水源方便适合种植水稻小麦和经济作物 水电路三通","86.16","经济作物种植、水稻种植、休闲农业","良","良","一般","优","一般"
"来安县400亩水田（适合龙虾养殖）出租","土地编码：79612 更新时间：2018-10-21 21:22:12 288 次查看","650","元/亩/年","耕地|水田","5 年","出租","400 亩","安徽/滁州/来安县","水稻 莲藕 稻田养虾","来安县400亩水田对外出租，水电路三通，土地整块水源充足，适合养殖经济作物，这块地特别适合养龙虾，水源不需要担心，感兴趣的老板打电话质询。","78.7","经济作物种植、水稻种植、休闲农业","良","良","一般","良","一般"
